# Sine sweep: each joint follows q = offset + A*sin(2*pi*t/T) * ramp(t).
# Units: radians. Generated by scripts/make_example_trajectories.py.
t,j1,j2,j3,j4,j5,j6
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010,0.000000,0.000005,0.000013,0.000001,0.000007,0.000001
0.020,0.000001,0.000020,0.000051,0.000004,0.000029,0.000010
0.030,0.000004,0.000046,0.000117,0.000015,0.000069,0.000033
0.040,0.000009,0.000085,0.000211,0.000035,0.000130,0.000077
0.050,0.000018,0.000137,0.000336,0.000068,0.000214,0.000150
0.060,0.000031,0.000203,0.000491,0.000117,0.000326,0.000259
0.070,0.000050,0.000285,0.000679,0.000186,0.000467,0.000410
0.080,0.000074,0.000383,0.000901,0.000277,0.000640,0.000610
0.090,0.000106,0.000498,0.001157,0.000394,0.000848,0.000864
0.100,0.000145,0.000631,0.001450,0.000539,0.001093,0.001180
0.110,0.000193,0.000784,0.001780,0.000716,0.001378,0.001561
0.120,0.000251,0.000957,0.002149,0.000928,0.001704,0.002015
0.130,0.000318,0.001151,0.002558,0.001176,0.002076,0.002545
0.140,0.000398,0.001367,0.003008,0.001465,0.002493,0.003155
0.150,0.000489,0.001606,0.003501,0.001797,0.002960,0.003851
0.160,0.000593,0.001869,0.004037,0.002174,0.003476,0.004635
0.170,0.000711,0.002157,0.004617,0.002600,0.004045,0.005510
0.180,0.000843,0.002471,0.005243,0.003075,0.004668,0.006479
0.190,0.000991,0.002811,0.005916,0.003604,0.005346,0.007544
0.200,0.001156,0.003178,0.006637,0.004187,0.006081,0.008706
0.210,0.001337,0.003574,0.007406,0.004828,0.006873,0.009965
0.220,0.001536,0.003999,0.008226,0.005527,0.007724,0.011323
0.230,0.001754,0.004454,0.009097,0.006287,0.008634,0.012778
0.240,0.001991,0.004939,0.010019,0.007110,0.009605,0.014330
0.250,0.002249,0.005456,0.010995,0.007998,0.010636,0.015976
0.260,0.002528,0.006005,0.012024,0.008950,0.011728,0.017715
0.270,0.002829,0.006586,0.013108,0.009971,0.012881,0.019544
0.280,0.003152,0.007201,0.014248,0.011059,0.014095,0.021458
0.290,0.003499,0.007851,0.015444,0.012216,0.015369,0.023454
0.300,0.003870,0.008535,0.016697,0.013444,0.016703,0.025527
0.310,0.004266,0.009254,0.018008,0.014743,0.018095,0.027671
0.320,0.004688,0.010010,0.019378,0.016114,0.019546,0.029879
0.330,0.005136,0.010802,0.020807,0.017556,0.021054,0.032146
0.340,0.005611,0.011631,0.022296,0.019071,0.022618,0.034463
0.350,0.006115,0.012498,0.023846,0.020658,0.024235,0.036823
0.360,0.006647,0.013402,0.025457,0.022317,0.025905,0.039217
0.370,0.007208,0.014346,0.027129,0.024049,0.027625,0.041636
0.380,0.007799,0.015328,0.028864,0.025852,0.029393,0.044071
0.390,0.008421,0.016349,0.030662,0.027727,0.031206,0.046510
0.400,0.009075,0.017410,0.032523,0.029672,0.033063,0.048943
0.410,0.009760,0.018511,0.034448,0.031686,0.034959,0.051360
0.420,0.010478,0.019653,0.036436,0.033769,0.036893,0.053748
0.430,0.011230,0.020835,0.038489,0.035919,0.038861,0.056096
0.440,0.012016,0.022057,0.040605,0.038136,0.040860,0.058391
0.450,0.012836,0.023321,0.042787,0.040416,0.042886,0.060621
0.460,0.013691,0.024625,0.045034,0.042759,0.044935,0.062772
0.470,0.014583,0.025971,0.047345,0.045162,0.047003,0.064832
0.480,0.015511,0.027358,0.049721,0.047623,0.049087,0.066787
0.490,0.016476,0.028787,0.052163,0.050141,0.051182,0.068623
0.500,0.017478,0.030257,0.054670,0.052712,0.053284,0.070326
0.510,0.018519,0.031768,0.057241,0.055335,0.055389,0.071884
0.520,0.019598,0.033321,0.059878,0.058005,0.057491,0.073281
0.530,0.020717,0.034915,0.062579,0.060721,0.059585,0.074505
0.540,0.021875,0.036550,0.065345,0.063479,0.061668,0.075541
0.550,0.023074,0.038225,0.068175,0.066276,0.063734,0.076376
0.560,0.024314,0.039942,0.071069,0.069108,0.065778,0.076997
0.570,0.025594,0.041699,0.074026,0.071972,0.067795,0.077389
0.580,0.026917,0.043497,0.077047,0.074864,0.069779,0.077540
0.590,0.028282,0.045334,0.080131,0.077780,0.071725,0.077438
0.600,0.029689,0.047211,0.083277,0.080716,0.073628,0.077070
0.610,0.031140,0.049127,0.086485,0.083668,0.075483,0.076424
0.620,0.032634,0.051082,0.089755,0.086632,0.077283,0.075488
0.630,0.034172,0.053076,0.093084,0.089602,0.079024,0.074252
0.640,0.035754,0.055107,0.096474,0.092576,0.080699,0.072705
0.650,0.037381,0.057176,0.099923,0.095547,0.082304,0.070837
0.660,0.039053,0.059281,0.103431,0.098511,0.083833,0.068640
0.670,0.040770,0.061423,0.106996,0.101463,0.085281,0.066104
0.680,0.042533,0.063600,0.110618,0.104398,0.086641,0.063222
0.690,0.044342,0.065812,0.114296,0.107311,0.087910,0.059987
0.700,0.046197,0.068058,0.118028,0.110197,0.089080,0.056392
0.710,0.048099,0.070338,0.121815,0.113050,0.090148,0.052433
0.720,0.050048,0.072651,0.125654,0.115864,0.091108,0.048105
0.730,0.052044,0.074995,0.129545,0.118635,0.091955,0.043405
0.740,0.054087,0.077370,0.133487,0.121357,0.092684,0.038330
0.750,0.056178,0.079775,0.137478,0.124023,0.093291,0.032879
0.760,0.058317,0.082210,0.141517,0.126629,0.093770,0.027051
0.770,0.060504,0.084672,0.145603,0.129169,0.094117,0.020846
0.780,0.062739,0.087162,0.149735,0.131636,0.094328,0.014268
0.790,0.065022,0.089679,0.153911,0.134025,0.094399,0.007318
0.800,0.067354,0.092220,0.158129,0.136331,0.094325,0.000000
0.810,0.069735,0.094785,0.162389,0.138546,0.094103,-0.007680
0.820,0.072164,0.097374,0.166689,0.140666,0.093730,-0.015717
0.830,0.074642,0.099984,0.171027,0.142683,0.093202,-0.024102
0.840,0.077169,0.102615,0.175402,0.144594,0.092516,-0.032827
0.850,0.079745,0.105265,0.179811,0.146390,0.091669,-0.041883
0.860,0.082371,0.107934,0.184255,0.148067,0.090658,-0.051258
0.870,0.085045,0.110620,0.188730,0.149619,0.089482,-0.060940
0.880,0.087768,0.113321,0.193235,0.151040,0.088137,-0.070915
0.890,0.090541,0.116036,0.197768,0.152323,0.086623,-0.081170
0.900,0.093362,0.118765,0.202328,0.153464,0.084938,-0.091689
0.910,0.096233,0.121505,0.206912,0.154456,0.083081,-0.102454
0.920,0.099153,0.124255,0.211519,0.155293,0.081050,-0.113447
0.930,0.102121,0.127014,0.216147,0.155971,0.078846,-0.124650
0.940,0.105139,0.129780,0.220794,0.156483,0.076468,-0.136042
0.950,0.108205,0.132552,0.225457,0.156825,0.073916,-0.147603
0.960,0.111320,0.135328,0.230136,0.156990,0.071191,-0.159308
0.970,0.114484,0.138108,0.234828,0.156974,0.068293,-0.171136
0.980,0.117696,0.140888,0.239530,0.156771,0.065224,-0.183062
0.990,0.120956,0.143668,0.244241,0.156377,0.061985,-0.195061
1.000,0.124264,0.146447,0.248959,0.155786,0.058579,-0.207107
1.010,0.127620,0.149221,0.253682,0.154994,0.055006,-0.219172
1.020,0.131024,0.151991,0.258407,0.153996,0.051271,-0.231230
1.030,0.134475,0.154754,0.263132,0.152788,0.047375,-0.243251
1.040,0.137973,0.157509,0.267855,0.151365,0.043322,-0.255207
1.050,0.141518,0.160253,0.272574,0.149723,0.039117,-0.267067
1.060,0.145110,0.162986,0.277286,0.147858,0.034762,-0.278803
1.070,0.148748,0.165705,0.281990,0.145767,0.030263,-0.290382
1.080,0.152432,0.168409,0.286683,0.143445,0.025623,-0.301773
1.090,0.156162,0.171097,0.291363,0.140889,0.020850,-0.312946
1.100,0.159937,0.173765,0.296027,0.138097,0.015947,-0.323868
1.110,0.163757,0.176414,0.300673,0.135064,0.010921,-0.334507
1.120,0.167622,0.179040,0.305300,0.131789,0.005779,-0.344830
1.130,0.171531,0.181643,0.309903,0.128268,0.000526,-0.354806
1.140,0.175483,0.184220,0.314482,0.124499,-0.004830,-0.364403
1.150,0.179479,0.186769,0.319034,0.120479,-0.010283,-0.373587
1.160,0.183518,0.189290,0.323556,0.116208,-0.015823,-0.382327
1.170,0.187599,0.191780,0.328047,0.111684,-0.021444,-0.390591
1.180,0.191723,0.194237,0.332503,0.106903,-0.027137,-0.398348
1.190,0.195887,0.196660,0.336923,0.101867,-0.032893,-0.405566
1.200,0.200093,0.199046,0.341304,0.096573,-0.038704,-0.412215
1.210,0.204339,0.201395,0.345643,0.091022,-0.044560,-0.418264
1.220,0.208626,0.203703,0.349939,0.085211,-0.050452,-0.423685
1.230,0.212951,0.205971,0.354189,0.079142,-0.056370,-0.428448
1.240,0.217315,0.208195,0.358391,0.072815,-0.062304,-0.432525
1.250,0.221718,0.210374,0.362542,0.066230,-0.068244,-0.435890
1.260,0.226158,0.212507,0.366640,0.059387,-0.074179,-0.438517
1.270,0.230635,0.214591,0.370683,0.052287,-0.080098,-0.440380
1.280,0.235149,0.216625,0.374668,0.044932,-0.085991,-0.441455
1.290,0.239698,0.218607,0.378593,0.037324,-0.091847,-0.441720
1.300,0.244282,0.220535,0.382456,0.029463,-0.097653,-0.441154
1.310,0.248901,0.222408,0.386255,0.021353,-0.103399,-0.439736
1.320,0.253553,0.224224,0.389987,0.012995,-0.109073,-0.437447
1.330,0.258239,0.225982,0.393650,0.004392,-0.114664,-0.434271
1.340,0.262956,0.227679,0.397243,-0.004452,-0.120158,-0.430192
1.350,0.267706,0.229315,0.400761,-0.013535,-0.125545,-0.425196
1.360,0.272486,0.230886,0.404205,-0.022854,-0.130812,-0.419270
1.370,0.277296,0.232393,0.407571,-0.032403,-0.135948,-0.412404
1.380,0.282135,0.233833,0.410857,-0.042179,-0.140939,-0.404589
1.390,0.287003,0.235205,0.414062,-0.052178,-0.145774,-0.395819
1.400,0.291899,0.236507,0.417183,-0.062395,-0.150441,-0.386087
1.410,0.296821,0.237738,0.420218,-0.072824,-0.154927,-0.375391
1.420,0.301770,0.238896,0.423165,-0.083461,-0.159221,-0.363730
1.430,0.306744,0.239980,0.426023,-0.094300,-0.163309,-0.351105
1.440,0.311742,0.240989,0.428788,-0.105334,-0.167181,-0.337518
1.450,0.316764,0.241920,0.431461,-0.116559,-0.170823,-0.322975
1.460,0.321809,0.242773,0.434038,-0.127966,-0.174225,-0.307483
1.470,0.326875,0.243547,0.436517,-0.139550,-0.177375,-0.291050
1.480,0.331962,0.244239,0.438898,-0.151303,-0.180261,-0.273689
1.490,0.337069,0.244849,0.441178,-0.163219,-0.182871,-0.255413
1.500,0.342196,0.245376,0.443356,-0.175289,-0.185195,-0.236237
1.510,0.347340,0.245817,0.445429,-0.187505,-0.187221,-0.216179
1.520,0.352502,0.246173,0.447397,-0.199860,-0.188939,-0.195260
1.530,0.357680,0.246442,0.449258,-0.212346,-0.190338,-0.173502
1.540,0.362873,0.246623,0.451010,-0.224953,-0.191409,-0.150928
1.550,0.368080,0.246714,0.452652,-0.237672,-0.192140,-0.127566
1.560,0.373301,0.246716,0.454182,-0.250496,-0.192522,-0.103444
1.570,0.378535,0.246626,0.455599,-0.263413,-0.192547,-0.078593
1.580,0.383779,0.246444,0.456902,-0.276416,-0.192205,-0.053045
1.590,0.389034,0.246169,0.458090,-0.289493,-0.191487,-0.026835
1.600,0.394298,0.245800,0.459161,-0.302636,-0.190385,-0.000000
1.610,0.399571,0.245336,0.460114,-0.315833,-0.188892,0.027421
1.620,0.404851,0.244777,0.460948,-0.329074,-0.187000,0.055389
1.630,0.410137,0.244121,0.461662,-0.342350,-0.184703,0.083860
1.640,0.415428,0.243369,0.462255,-0.355648,-0.181992,0.112791
1.650,0.420724,0.242519,0.462726,-0.368958,-0.178864,0.142135
1.660,0.426022,0.241571,0.463074,-0.382270,-0.175311,0.171845
1.670,0.431322,0.240524,0.463299,-0.395571,-0.171329,0.201873
1.680,0.436624,0.239378,0.463400,-0.408850,-0.166914,0.232168
1.690,0.441925,0.238132,0.463376,-0.422096,-0.162061,0.262677
1.700,0.447225,0.236786,0.463226,-0.435297,-0.156767,0.293348
1.710,0.452522,0.235340,0.462950,-0.448441,-0.151029,0.324126
1.720,0.457816,0.233793,0.462547,-0.461517,-0.144844,0.354956
1.730,0.463106,0.232145,0.462017,-0.474511,-0.138211,0.385780
1.740,0.468389,0.230396,0.461360,-0.487413,-0.131129,0.416542
1.750,0.473666,0.228545,0.460575,-0.500210,-0.123597,0.447184
1.760,0.478935,0.226594,0.459663,-0.512890,-0.115614,0.477645
1.770,0.484195,0.224540,0.458622,-0.525440,-0.107182,0.507867
1.780,0.489444,0.222385,0.457453,-0.537848,-0.098302,0.537789
1.790,0.494682,0.220129,0.456156,-0.550101,-0.088975,0.567351
1.800,0.499908,0.217771,0.454730,-0.562188,-0.079205,0.596491
1.810,0.505120,0.215313,0.453177,-0.574095,-0.068993,0.625149
1.820,0.510317,0.212753,0.451496,-0.585811,-0.058344,0.653264
1.830,0.515498,0.210093,0.449687,-0.597323,-0.047263,0.680774
1.840,0.520662,0.207332,0.447751,-0.608617,-0.035754,0.707620
1.850,0.525807,0.204472,0.445688,-0.619683,-0.023822,0.733741
1.860,0.530934,0.201512,0.443499,-0.630508,-0.011475,0.759076
1.870,0.536039,0.198453,0.441183,-0.641078,0.001281,0.783567
1.880,0.541123,0.195295,0.438743,-0.651383,0.014438,0.807155
1.890,0.546183,0.192040,0.436178,-0.661410,0.027988,0.829783
1.900,0.551220,0.188687,0.433489,-0.671147,0.041922,0.851393
1.910,0.556231,0.185238,0.430677,-0.680581,0.056231,0.871930
1.920,0.561216,0.181694,0.427742,-0.689702,0.070905,0.891339
1.930,0.566173,0.178054,0.424687,-0.698497,0.085932,0.909568
1.940,0.571101,0.174320,0.421511,-0.706954,0.101301,0.926565
1.950,0.576000,0.170494,0.418217,-0.715063,0.117002,0.942280
1.960,0.580867,0.166575,0.414804,-0.722812,0.133020,0.956664
1.970,0.585702,0.162565,0.411275,-0.730189,0.149342,0.969672
1.980,0.590503,0.158465,0.407630,-0.737185,0.165956,0.981258
1.990,0.595269,0.154276,0.403871,-0.743788,0.182847,0.991381
2.000,0.600000,0.150000,0.400000,-0.749987,0.200000,1.000000
2.010,0.604694,0.145637,0.396018,-0.755773,0.217400,1.007077
2.020,0.609349,0.141190,0.391926,-0.761135,0.235030,1.012576
2.030,0.613965,0.136658,0.387727,-0.766063,0.252875,1.016465
2.040,0.618541,0.132045,0.383421,-0.770548,0.270917,1.018712
2.050,0.623075,0.127350,0.379011,-0.774580,0.289140,1.019291
2.060,0.627566,0.122576,0.374499,-0.778151,0.307525,1.018175
2.070,0.632014,0.117725,0.369886,-0.781252,0.326055,1.015342
2.080,0.636416,0.112798,0.365175,-0.783873,0.344711,1.010774
2.090,0.640772,0.107796,0.360367,-0.786008,0.363473,1.004453
2.100,0.645081,0.102721,0.355465,-0.787647,0.382323,0.996366
2.110,0.649341,0.097575,0.350471,-0.788784,0.401240,0.986504
